Month,Day,Hour,DoY,Rg_f,Rg_fqc,Ta_f,Ta_fqc,VPD_f,VPD_fqc,Ts_f,Ts_fqc,Precip,SWC,H_f,H_fqc,LE_f,LE_fqc,qf_NEE_st,qf_NEE_or,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNqc,GPP_or_ANN
1,1,0.5,1.021,0.00,0,0.40,0,1.84,0,0.00,0,0.00,32.50,-12.57,0,-0.80,0,35,3,0.607,0.590,0.697,1,-0.090,0.606,1,-0.016,0.399,1,0.208,0.600,1,-0.010
1,1,1.0,1.042,0.00,0,0.30,0,1.74,0,0.00,0,0.00,32.50,-2.30,0,-1.48,0,99,3,0.603,0.587,-0.265,2,0.868,-0.574,2,1.161,0.400,1,0.203,0.608,1,-0.021
1,1,1.5,1.063,0.00,0,2.00,0,2.68,0,-0.10,0,0.00,32.40,-24.68,0,-6.10,0,67,3,0.667,0.625,0.697,1,-0.029,0.606,1,0.019,0.455,1,0.212,0.567,1,0.059
1,1,2.0,1.083,0.00,0,1.90,0,2.60,0,-0.10,0,0.00,32.40,-32.83,0,-0.28,0,3,3,0.664,0.623,0.697,1,-0.033,0.606,1,0.017,0.452,1,0.212,0.571,1,0.052
1,1,2.5,1.104,0.00,0,2.30,0,2.72,0,-0.10,0,0.00,32.40,-66.80,0,-1.53,0,3,3,0.679,0.632,-0.095,2,0.774,0.948,2,-0.316,0.477,1,0.202,0.577,1,0.055
1,1,3.0,1.125,0.00,0,2.50,0,2.66,0,-0.10,0,0.00,32.40,-29.62,0,-0.62,0,3,3,0.687,0.636,-0.150,2,0.837,0.733,2,-0.096,0.495,1,0.191,0.594,1,0.042
1,1,3.5,1.146,0.00,0,2.70,0,2.57,0,-0.10,0,0.00,32.40,-25.92,0,-7.76,0,3,3,0.694,0.641,-0.015,2,0.710,1.200,2,-0.560,0.515,1,0.179,0.613,1,0.028
1,1,4.0,1.167,0.00,0,1.70,0,2.18,0,-0.10,0,0.00,32.30,-60.91,0,-9.14,0,3,3,0.656,0.618,0.697,1,-0.041,0.606,1,0.013,0.454,1,0.202,0.602,1,0.017
1,1,4.5,1.188,0.00,0,1.30,0,1.87,0,-0.10,0,0.00,32.30,11.33,0,8.07,0,3,3,0.641,0.610,0.697,1,-0.056,0.606,1,0.004,0.444,1,0.197,0.618,1,-0.008
1,1,5.0,1.208,0.00,0,0.60,0,1.74,0,0.00,0,0.00,32.20,-11.84,0,-6.27,0,3,3,0.614,0.594,0.697,1,-0.082,0.606,1,-0.012,0.401,1,0.213,0.594,1,-0.000
