Month,Day,Hour,DoY,Rg_f,Rg_fqc,Ta_f,Ta_fqc,VPD_f,VPD_fqc,Ts_f,Ts_fqc,Precip,SWC,H_f,H_fqc,LE_f,LE_fqc,qf_NEE_st,qf_NEE_or,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNqc,GPP_or_ANN
1,1,0.5,1.021,0.00,0,-3.30,0,0.01,0,0.60,0,0.00,37.00,-15.64,1,0.45,1,99,99,0.778,0.829,1.054,1,-0.276,0.999,1,-0.170,1.088,1,-0.311,0.740,1,0.089
1,1,1.0,1.042,0.00,0,-3.40,0,0.02,0,0.60,0,0.00,37.00,-7.17,1,0.68,1,99,99,0.771,0.822,0.577,2,0.194,0.983,2,-0.161,1.089,1,-0.318,0.740,1,0.082
1,1,1.5,1.063,0.00,0,-3.60,0,0.02,0,0.60,0,0.00,37.00,-7.35,1,0.84,1,99,99,0.757,0.809,0.577,2,0.180,0.983,2,-0.174,1.090,1,-0.332,0.740,1,0.068
1,1,2.0,1.083,0.00,0,-3.60,0,0.02,0,0.60,0,0.00,37.00,-7.35,1,0.84,1,99,99,0.757,0.809,0.577,2,0.180,0.983,2,-0.174,1.090,1,-0.332,0.740,1,0.068
1,1,2.5,1.104,0.00,0,-3.60,0,0.02,0,0.60,0,0.00,37.00,-7.35,1,0.84,1,99,99,0.757,0.809,0.577,2,0.180,0.983,2,-0.174,1.090,1,-0.332,0.740,1,0.068
1,1,3.0,1.125,0.00,0,-3.60,0,0.02,0,0.60,0,0.00,37.00,-7.35,1,0.84,1,99,99,0.757,0.809,0.577,2,0.180,0.983,2,-0.174,1.090,1,-0.332,0.740,1,0.068
1,1,3.5,1.146,0.00,0,-3.70,0,0.03,0,0.60,0,0.00,37.00,-5.76,1,0.62,1,99,99,0.750,0.802,0.582,2,0.168,1.016,2,-0.214,1.090,1,-0.340,0.741,1,0.061
1,1,4.0,1.167,0.00,0,-3.70,0,0.03,0,0.60,0,0.00,37.00,-5.76,1,0.62,1,99,99,0.750,0.802,0.582,2,0.168,1.016,2,-0.214,1.090,1,-0.340,0.741,1,0.061
1,1,4.5,1.188,0.00,0,-3.80,0,0.03,0,0.60,0,0.00,37.00,-6.28,1,0.92,1,99,99,0.744,0.795,0.613,2,0.131,1.009,2,-0.214,1.090,1,-0.347,0.741,1,0.054
1,1,5.0,1.208,0.00,0,-3.80,0,0.03,0,0.60,0,0.00,37.00,-6.28,1,0.92,1,99,99,0.744,0.795,0.613,2,0.131,1.009,2,-0.214,1.090,1,-0.347,0.741,1,0.054
1,1,5.5,1.229,0.00,0,-3.80,0,0.03,0,0.60,0,0.00,37.00,-6.28,1,0.92,1,99,99,0.744,0.795,0.613,2,0.131,1.009,2,-0.214,1.090,1,-0.347,0.741,1,0.054
1,1,6.0,1.250,0.00,0,-3.80,0,0.03,0,0.60,0,0.00,37.00,-6.28,1,0.92,1,99,99,0.744,0.795,0.613,2,0.131,1.009,2,-0.214,1.090,1,-0.347,0.741,1,0.054
1,1,6.5,1.271,0.00,0,-3.70,0,0.03,0,0.60,0,0.00,37.00,-5.76,1,0.62,1,99,99,0.750,0.802,0.582,2,0.168,1.016,2,-0.214,1.090,1,-0.340,0.741,1,0.061
1,1,7.0,1.292,0.00,0,-3.80,0,0.03,0,0.60,0,0.00,37.00,-6.28,1,0.92,1,99,99,0.744,0.795,0.613,2,0.131,1.009,2,-0.214,1.090,1,-0.347,0.741,1,0.054
1,1,7.5,1.313,0.00,0,-3.80,0,0.03,0,0.60,0,0.00,37.00,-6.28,1,0.92,1,99,99,0.744,0.795,0.613,2,0.131,1.009,2,-0.214,1.090,1,-0.347,0.741,1,0.054
1,1,8.0,1.333,0.00,0,-3.90,0,0.03,0,0.60,0,0.00,37.00,-7.46,1,1.42,1,99,99,0.737,0.788,0.592,2,0.145,1.066,2,-0.278,1.091,1,-0.354,0.741,1,0.047
1,1,8.5,1.354,4.10,0,-3.90,0,0.03,0,0.60,0,0.00,37.00,-7.46,1,1.42,1,99,99,0.737,0.788,0.592,2,0.145,1.066,2,-0.278,1.091,1,-0.354,0.741,1,0.047
1,1,9.0,1.375,15.00,0,-3.80,0,0.03,0,0.60,0,0.00,37.00,-6.03,1,0.85,1,99,99,0.744,0.795,0.768,2,-0.024,0.967,2,-0.172,0.629,1,0.115,1.457,1,-0.662
1,1,9.5,1.396,22.40,0,-3.40,0,0.01,0,0.60,0,0.00,37.00,-4.35,1,0.02,1,99,99,0.771,0.822,1.116,2,-0.345,0.768,2,0.054,0.485,1,0.286,1.355,1,-0.533
1,1,10.0,1.417,32.00,0,-3.00,0,0.00,0,0.60,0,0.00,37.00,-12.19,1,1.26,1,99,99,0.798,0.849,0.639,2,0.159,0.644,2,0.205,0.322,1,0.476,1.234,1,-0.385
1,1,10.5,1.438,47.40,0,-2.50,0,0.00,0,0.60,0,0.00,37.00,-14.45,1,1.88,1,99,99,0.834,0.884,0.697,1,0.137,0.720,1,0.164,0.095,1,0.739,1.056,1,-0.172
1,1,11.0,1.458,55.20,0,-2.30,0,0.00,0,0.60,0,0.00,37.00,-15.91,1,2.19,1,99,99,0.848,0.898,0.697,1,0.151,0.720,1,0.178,-0.008,1,0.856,0.969,1,-0.071
