Month,Day,Hour,DoY,Rg_f,Rg_fqc,Ta_f,Ta_fqc,VPD_f,VPD_fqc,Ts_f,Ts_fqc,Precip,SWC,H_f,H_fqc,LE_f,LE_fqc,qf_NEE_st,qf_NEE_or,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNqc,GPP_or_ANN
1,1,0.5,1.021,0.00,0,-0.90,0,1.30,0,0.10,0,0.00,25.60,-17.72,0,6.57,0,3,3,0.329,0.256,0.405,1,-0.076,0.391,1,-0.135,0.322,1,0.007,0.571,1,-0.315
1,1,1.0,1.042,0.00,0,-1.00,0,1.30,0,0.10,0,0.00,25.60,-22.57,0,6.73,0,0,0,0.326,0.254,1.085,0,-0.758,0.349,0,-0.095,1.085,0,-0.758,0.349,0,-0.095
1,1,1.5,1.063,0.00,0,-0.60,0,1.46,0,0.10,0,0.00,25.60,-36.24,0,9.75,0,0,0,0.338,0.262,0.636,0,-0.298,1.365,0,-1.103,0.636,0,-0.298,1.365,0,-1.103
1,1,2.0,1.083,0.00,0,-0.80,0,1.41,0,0.10,0,0.00,25.60,-10.33,0,3.27,0,3,3,0.332,0.258,0.359,1,-0.027,0.347,1,-0.090,0.327,1,0.006,0.579,1,-0.321
1,1,2.5,1.104,0.00,0,-1.10,0,1.24,0,0.10,0,0.00,25.60,-4.25,0,-1.43,0,3,3,0.323,0.252,0.342,1,-0.019,0.322,1,-0.070,0.320,1,0.004,0.566,1,-0.314
1,1,3.0,1.125,0.00,0,-1.50,0,1.06,0,0.10,0,0.00,25.60,-5.65,0,0.47,0,35,35,0.312,0.244,0.262,1,0.050,0.232,1,0.012,0.313,1,-0.001,0.552,1,-0.308
1,1,3.5,1.146,0.00,0,-1.40,0,1.06,0,0.10,0,0.00,25.60,-14.63,0,0.19,0,64,64,0.315,0.246,0.221,1,0.094,0.155,1,0.091,0.313,1,0.002,0.553,1,-0.307
1,1,4.0,1.167,0.00,0,-1.10,0,1.31,0,0.00,0,0.00,25.60,-50.32,0,10.83,0,0,0,0.323,0.252,0.115,0,0.208,-0.668,0,0.920,0.115,0,0.208,-0.668,0,0.920
1,1,4.5,1.188,0.00,0,-1.00,0,1.32,0,0.00,0,0.00,25.60,-74.89,0,21.16,0,0,0,0.326,0.254,0.468,0,-0.142,-0.086,0,0.340,0.468,0,-0.142,-0.086,0,0.340
1,1,5.0,1.208,0.00,0,-1.10,0,1.29,0,0.00,0,0.00,25.60,-68.47,0,27.70,0,0,0,0.323,0.252,0.492,0,-0.168,0.617,0,-0.365,0.492,0,-0.168,0.617,0,-0.365
1,1,5.5,1.229,0.00,0,-1.10,0,1.53,0,0.00,0,0.00,25.60,-28.35,0,12.80,0,0,0,0.323,0.252,0.465,0,-0.142,0.415,0,-0.163,0.465,0,-0.142,0.415,0,-0.163
1,1,6.0,1.250,0.00,0,-1.20,0,1.30,0,0.00,0,0.00,25.60,-48.26,0,15.27,0,0,0,0.320,0.250,0.800,0,-0.479,1.112,0,-0.862,0.800,0,-0.479,1.112,0,-0.862
1,1,6.5,1.271,0.00,0,-1.60,0,1.12,0,0.00,0,0.00,25.60,-24.57,0,12.52,0,3,3,0.309,0.242,0.239,1,0.070,0.212,1,0.030,0.284,1,0.024,0.533,1,-0.291
1,1,7.0,1.292,0.00,0,-1.70,0,1.19,0,0.00,0,0.00,25.60,-44.74,0,10.73,0,0,0,0.306,0.240,1.277,0,-0.971,1.108,0,-0.868,1.277,0,-0.971,1.108,0,-0.868
1,1,7.5,1.313,0.00,0,-1.50,0,1.23,0,0.00,0,0.00,25.60,-49.54,0,13.93,0,0,0,0.312,0.244,1.263,0,-0.951,0.614,0,-0.370,1.263,0,-0.951,0.614,0,-0.370
1,1,8.0,1.333,1.50,0,-1.50,0,1.18,0,0.00,0,0.00,25.60,-42.54,0,17.96,0,0,0,0.312,0.244,0.315,0,-0.003,0.007,0,0.237,0.315,0,-0.003,0.007,0,0.237
1,1,8.5,1.354,17.00,0,-1.50,0,1.43,0,0.00,0,0.00,25.60,-55.08,0,24.50,0,0,0,0.312,0.244,-0.350,0,0.662,-0.683,0,0.927,-0.350,0,0.662,-0.683,0,0.927
1,1,9.0,1.375,35.10,0,-1.40,0,1.58,0,0.00,0,0.00,25.60,-45.64,0,25.30,0,0,0,0.315,0.246,-0.359,0,0.673,-0.594,0,0.840,-0.359,0,0.673,-0.594,0,0.840
1,1,9.5,1.396,52.00,0,-1.50,0,1.66,0,0.00,0,0.00,25.60,-24.19,0,24.44,0,0,0,0.312,0.244,-0.167,0,0.479,-0.344,0,0.588,-0.167,0,0.479,-0.344,0,0.588
1,1,10.0,1.417,83.90,0,-1.60,0,1.54,0,0.00,0,0.00,25.50,-17.41,0,31.58,0,0,0,0.309,0.242,-0.097,0,0.406,-0.347,0,0.589,-0.097,0,0.406,-0.347,0,0.589
1,1,10.5,1.438,98.60,0,-1.40,0,1.69,0,0.00,0,0.00,25.50,-13.39,0,35.59,0,0,0,0.315,0.246,-0.301,0,0.616,-1.081,0,1.327,-0.301,0,0.616,-1.081,0,1.327
1,1,11.0,1.458,146.00,0,-1.10,0,1.82,0,0.00,0,0.00,25.50,16.65,0,19.55,0,0,0,0.323,0.252,-1.827,0,2.150,-2.226,0,2.478,-1.827,0,2.150,-2.226,0,2.478
1,1,11.5,1.479,166.70,0,-1.00,0,1.68,0,0.00,0,0.00,25.50,37.60,0,3.13,0,0,0,0.326,0.254,-3.845,0,4.172,-4.027,0,4.281,-3.845,0,4.172,-4.027,0,4.281
1,1,12.0,1.500,173.70,0,-1.00,0,1.46,0,0.10,0,0.25,25.50,33.16,0,17.62,0,0,0,0.326,0.254,-2.159,0,2.485,-2.623,0,2.877,-2.159,0,2.485,-2.623,0,2.877
1,1,12.5,1.521,144.20,0,-0.80,0,1.58,0,0.10,0,0.00,25.50,41.46,0,23.81,0,0,0,0.332,0.258,-2.579,0,2.911,-3.202,0,3.460,-2.579,0,2.911,-3.202,0,3.460
1,1,13.0,1.542,149.40,0,-0.50,0,1.94,0,0.10,0,0.25,25.50,40.22,0,38.89,0,0,0,0.341,0.264,-4.749,0,5.090,-4.991,0,5.255,-4.749,0,5.090,-4.991,0,5.255
1,1,13.5,1.563,173.40,0,-0.40,0,2.10,0,0.10,0,0.00,25.50,41.28,0,24.26,0,0,0,0.344,0.266,-3.905,0,4.250,-4.257,0,4.523,-3.905,0,4.250,-4.257,0,4.523
1,1,14.0,1.583,95.90,0,-0.70,0,1.83,0,0.10,0,0.00,25.50,31.94,0,7.41,0,0,0,0.335,0.260,-2.908,0,3.243,-1.500,0,1.760,-2.908,0,3.243,-1.500,0,1.760
