Month,Day,Hour,DoY,Rg_f,Rg_fqc,Ta_f,Ta_fqc,VPD_f,VPD_fqc,Ts_f,Ts_fqc,Precip,SWC,H_f,H_fqc,LE_f,LE_fqc,qf_NEE_st,qf_NEE_or,Reco_st,Reco_or,NEE_st_fMDS,NEE_st_fMDSqc,GPP_st_MDS,NEE_or_fMDS,NEE_or_fMDSqc,GPP_or_MDS,NEE_st_fANN,NEE_st_fANNqc,GPP_st_ANN,NEE_or_fANN,NEE_or_fANNqc,GPP_or_ANN
1,1,0.5,1.021,0.00,0,0.70,0,1.92,0,0.40,0,0.00,39.50,-181.63,3,100.88,3,99,35,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,1.0,1.042,0.00,0,0.70,0,2.06,0,0.40,0,0.00,39.40,-181.63,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,1.5,1.063,0.00,0,0.10,0,1.92,0,0.40,0,0.00,39.40,-170.62,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,2.0,1.083,0.00,0,0.00,0,1.86,0,0.40,0,0.00,39.30,-170.62,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,2.5,1.104,0.00,0,-0.20,0,1.71,0,0.40,0,0.00,39.30,-170.62,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,3.0,1.125,0.00,0,-0.80,0,1.29,0,0.40,0,0.00,39.20,-141.02,3,104.03,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,3.5,1.146,0.00,0,-0.60,0,1.14,0,0.40,0,0.00,39.20,-170.62,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,4.0,1.167,0.00,0,-0.60,0,1.10,0,0.40,0,0.00,39.10,-170.62,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,4.5,1.188,0.00,0,-0.50,0,1.10,0,0.40,0,0.00,39.10,-170.62,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,5.0,1.208,0.00,0,-0.30,0,1.14,0,0.40,0,0.00,39.00,-170.62,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,5.5,1.229,0.00,0,-0.20,0,1.18,0,0.40,0,0.00,39.00,-170.62,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,6.0,1.250,0.00,0,-0.10,0,1.15,0,0.40,0,0.00,38.90,-170.62,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,6.5,1.271,0.00,0,0.00,0,1.16,0,0.40,0,0.00,38.90,-170.62,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,7.0,1.292,0.00,0,0.20,0,1.13,0,0.40,0,0.00,38.80,-170.62,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,7.5,1.313,0.00,0,0.40,0,0.94,0,0.40,0,0.00,38.80,-170.62,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,8.0,1.333,0.00,0,0.50,0,0.93,0,0.40,0,0.00,38.80,-170.62,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,8.5,1.354,9.90,0,0.80,0,1.11,0,0.40,0,0.00,38.70,-166.00,3,100.88,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,9.0,1.375,27.80,0,1.20,0,1.39,0,0.40,0,0.00,38.70,-27.00,3,1.92,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,9.5,1.396,50.10,0,1.40,0,1.55,0,0.40,0,0.00,38.70,-37.84,3,4.77,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,10.0,1.417,120.40,0,1.90,0,1.75,0,0.50,0,0.00,38.60,-3.07,3,53.21,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,10.5,1.438,90.40,0,2.20,0,1.81,0,0.40,0,2.03,38.60,-25.14,3,5.31,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,11.0,1.458,127.90,0,2.00,0,1.57,0,0.50,0,0.51,38.50,-3.07,3,53.21,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,11.5,1.479,60.60,0,1.70,0,1.28,0,0.50,0,0.00,38.50,-37.84,3,6.10,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,12.0,1.500,185.80,0,0.80,0,0.49,0,0.50,0,0.25,38.50,14.85,3,67.16,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,12.5,1.521,227.40,0,1.10,0,0.51,0,0.50,0,0.00,38.40,12.82,3,47.29,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
1,1,13.0,1.542,162.80,0,1.20,0,0.58,0,0.50,0,0.00,38.40,4.88,3,60.95,3,99,99,-9999.000,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000,-9999.000,-9999,-9999.000
